MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,appendicitis,_train,ABC,NONE,NONE,0.774,0.784,0.402,0.764,0.4480000000000001,0.264,0.5929411764705883
PCA,appendicitis,_train,DTREE,NONE,NONE,0.7380000000000001,0.736,0.43,0.732,0.46,0.284,0.5826470588235294
PCA,appendicitis,_train,GNB,NONE,NONE,0.7819999999999999,0.7799999999999999,0.5479999999999999,0.7759999999999999,0.546,0.406,0.6644117647058824
PCA,appendicitis,_train,KNN,NONE,NONE,0.7040000000000001,0.7839999999999999,0.268,0.728,0.19399999999999998,0.098,0.526470588235294
PCA,appendicitis,_train,LRG,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
PCA,appendicitis,_train,MLP,NONE,NONE,0.828,0.8480000000000001,0.4480000000000001,0.8180000000000002,0.494,0.328,0.6482352941176469
PCA,appendicitis,_train,QDA,NONE,NONE,0.826,0.818,0.622,0.8160000000000001,0.68,0.494,0.7211764705882352
PCA,appendicitis,_train,RF,NONE,NONE,0.768,0.8099999999999999,0.4,0.78,0.39,0.268,0.6055882352941176
PCA,appendicitis,_train,SGD,NONE,NONE,0.7659999999999999,0.706,0.4819999999999999,0.648,0.32199999999999995,0.206,0.5941176470588235
PCA,appendicitis,_train,SVM,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
PCA,autoUniv-au1-1000,_train,ABC,NONE,NONE,0.67,0.722,0.36,0.674,0.382,0.158,0.541704011552018
PCA,autoUniv-au1-1000,_train,DTREE,NONE,NONE,0.69,0.6900000000000001,0.502,0.6900000000000001,0.5579999999999999,0.32,0.5961363569831789
PCA,autoUniv-au1-1000,_train,GNB,NONE,NONE,0.6859999999999999,0.726,0.406,0.696,0.45799999999999996,0.218,0.5657393644365614
PCA,autoUniv-au1-1000,_train,KNN,NONE,NONE,0.7,0.7340000000000001,0.426,0.706,0.484,0.24000000000000005,0.5806668059234187
PCA,autoUniv-au1-1000,_train,LRG,NONE,NONE,0.6540000000000001,0.7360000000000001,0.28600000000000003,0.65,0.184,0.044000000000000004,0.5117970098921539
PCA,autoUniv-au1-1000,_train,MLP,NONE,NONE,0.738,0.7460000000000001,0.442,0.7120000000000001,0.466,0.252,0.593319670303484
PCA,autoUniv-au1-1000,_train,QDA,NONE,NONE,0.7060000000000001,0.728,0.47,0.7120000000000001,0.534,0.294,0.6004249656440734
PCA,autoUniv-au1-1000,_train,RF,NONE,NONE,0.73,0.76,0.414,0.718,0.4619999999999999,0.22000000000000006,0.5862430675991671
PCA,autoUniv-au1-1000,_train,SGD,NONE,NONE,0.6839999999999999,0.708,0.406,0.6659999999999999,0.386,0.19,0.5574005319662643
PCA,autoUniv-au1-1000,_train,SVM,NONE,NONE,0.55,0.74,0.26,0.63,0.0,0.0,0.5
PCA,climate-simulation-craches,_train,ABC,NONE,NONE,0.8779999999999999,0.9,0.29800000000000004,0.8859999999999999,0.366,0.23200000000000004,0.5975345289631003
PCA,climate-simulation-craches,_train,DTREE,NONE,NONE,0.8619999999999999,0.868,0.256,0.868,0.37200000000000005,0.188,0.5622613894042466
PCA,climate-simulation-craches,_train,GNB,NONE,NONE,0.924,0.546,0.938,0.636,0.7020000000000001,0.4779999999999999,0.7429189857761287
PCA,climate-simulation-craches,_train,KNN,NONE,NONE,0.8400000000000001,0.902,0.1,0.868,0.062,0.02,0.5008987837559266
PCA,climate-simulation-craches,_train,LRG,NONE,NONE,0.836,0.918,0.08199999999999999,0.8759999999999999,0.0,0.0,0.5
PCA,climate-simulation-craches,_train,MLP,NONE,NONE,0.836,0.918,0.08199999999999999,0.8759999999999999,0.0,0.0,0.5
PCA,climate-simulation-craches,_train,QDA,NONE,NONE,0.91,0.8,0.726,0.8340000000000001,0.7559999999999999,0.5800000000000001,0.7616512059369202
PCA,climate-simulation-craches,_train,RF,NONE,NONE,0.836,0.9159999999999999,0.08199999999999999,0.8759999999999999,0.0,0.0,0.498989898989899
PCA,climate-simulation-craches,_train,SGD,NONE,NONE,0.836,0.918,0.08199999999999999,0.8759999999999999,0.0,0.0,0.5
PCA,climate-simulation-craches,_train,SVM,NONE,NONE,0.836,0.918,0.08199999999999999,0.8759999999999999,0.0,0.0,0.5
PCA,colon32,_train,ABC,NONE,NONE,0.8580000000000002,0.8420000000000001,0.8140000000000001,0.8400000000000001,0.82,0.6799999999999999,0.8275
PCA,colon32,_train,DTREE,NONE,NONE,0.85,0.826,0.75,0.8140000000000001,0.764,0.6,0.7875
PCA,colon32,_train,GNB,NONE,NONE,0.9059999999999999,0.8879999999999999,0.9079999999999999,0.89,0.8939999999999999,0.8019999999999999,0.8975
PCA,colon32,_train,KNN,NONE,NONE,0.858,0.8460000000000001,0.79,0.8360000000000001,0.7979999999999999,0.6679999999999999,0.8175000000000001
PCA,colon32,_train,LRG,NONE,NONE,0.858,0.858,0.8320000000000001,0.8560000000000001,0.8379999999999999,0.7260000000000001,0.845
PCA,colon32,_train,MLP,NONE,NONE,0.89,0.8759999999999999,0.8559999999999999,0.8720000000000001,0.858,0.742,0.865
PCA,colon32,_train,QDA,NONE,NONE,0.452,0.632,0.35800000000000004,0.516,0.08399999999999999,0.036000000000000004,0.495
PCA,colon32,_train,RF,NONE,NONE,0.8960000000000001,0.8740000000000001,0.8560000000000001,0.8720000000000001,0.8560000000000001,0.742,0.865
PCA,colon32,_train,SGD,NONE,NONE,0.5559999999999999,0.6940000000000001,0.642,0.6039999999999999,0.368,0.34,0.6675
PCA,colon32,_train,SVM,NONE,NONE,0.416,0.65,0.35000000000000003,0.506,0.0,0.0,0.5
PCA,fertility-diagnosis,_train,ABC,NONE,NONE,0.782,0.82,0.2,0.8,0.13,0.086,0.5101307189542483
PCA,fertility-diagnosis,_train,DTREE,NONE,NONE,0.8079999999999999,0.79,0.34,0.8,0.3720000000000001,0.24,0.5650326797385621
PCA,fertility-diagnosis,_train,GNB,NONE,NONE,0.8,0.8420000000000001,0.2,0.818,0.142,0.104,0.5218954248366013
PCA,fertility-diagnosis,_train,KNN,NONE,NONE,0.7719999999999999,0.85,0.116,0.8119999999999999,0.0,0.0,0.4833333333333333
