DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,LRG,0.7939999999999999,6.0,0.892,4.0,0.9,3.0,0.904,2.0,0.912,1.0,0.8720000000000001,5.0,area,9,GEO
x80data,LRG,0.0,6.0,0.8620000000000001,2.0,0.8620000000000001,2.0,0.8560000000000001,4.0,0.8539999999999999,5.0,0.8620000000000001,2.0,area,9,GEO
x7data,LRG,0.33,6.0,0.6559999999999999,4.0,0.66,3.0,0.6859999999999999,1.0,0.67,2.0,0.6439999999999999,5.0,area,9,GEO
x79data,LRG,0.1,6.0,0.8400000000000001,4.0,0.852,3.0,0.858,2.0,0.866,1.0,0.828,5.0,area,9,GEO
x78data,LRG,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,area,9,GEO
x76data,LRG,0.064,6.0,0.8699999999999999,4.0,0.8940000000000001,1.5,0.8939999999999999,1.5,0.892,3.0,0.8620000000000001,5.0,area,9,GEO
x75data,LRG,0.0,6.0,0.664,1.0,0.624,2.0,0.342,4.0,0.318,5.0,0.61,3.0,area,9,GEO
x74data,LRG,0.0,6.0,0.6579999999999999,1.0,0.5720000000000001,3.0,0.20600000000000002,4.5,0.20600000000000002,4.5,0.6399999999999999,2.0,area,9,GEO
x73data,LRG,0.5479999999999999,6.0,0.836,5.0,0.8560000000000001,3.5,0.8619999999999999,2.0,0.8699999999999999,1.0,0.8560000000000001,3.5,area,9,GEO
x72data,LRG,0.41600000000000004,6.0,0.7380000000000001,4.5,0.748,2.0,0.7459999999999999,3.0,0.7559999999999999,1.0,0.738,4.5,area,9,GEO
x71data,LRG,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,area,9,GEO
x70data,LRG,0.0,6.0,0.5980000000000001,2.0,0.6,1.0,0.5920000000000001,4.0,0.57,5.0,0.594,3.0,area,9,GEO
x69data,LRG,0.0,6.0,0.512,2.0,0.5660000000000001,1.0,0.37,4.0,0.336,5.0,0.376,3.0,area,9,GEO
x68data,LRG,0.0,6.0,0.13199999999999998,5.0,0.15,4.0,0.29400000000000004,2.0,0.27,3.0,0.35800000000000004,1.0,area,9,GEO
x66data,LRG,0.442,6.0,0.6779999999999999,3.0,0.6759999999999999,4.0,0.6799999999999999,1.5,0.6799999999999999,1.5,0.6459999999999999,5.0,area,9,GEO
x65data,LRG,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,area,9,GEO
x64data,LRG,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,area,9,GEO
x63data,LRG,0.252,6.0,0.504,2.0,0.522,1.0,0.496,3.0,0.4900000000000001,4.0,0.488,5.0,area,9,GEO
x60data,LRG,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,area,9,GEO
x50data,LRG,0.0,6.0,0.8779999999999999,2.0,0.866,4.0,0.8799999999999999,1.0,0.8699999999999999,3.0,0.8640000000000001,5.0,area,9,GEO
x4data,LRG,0.6920000000000001,6.0,0.906,1.0,0.8459999999999999,3.0,0.752,4.0,0.718,5.0,0.882,2.0,area,9,GEO
x48data,LRG,0.0,6.0,0.9620000000000001,2.5,0.9620000000000001,2.5,0.968,1.0,0.958,4.0,0.946,5.0,area,9,GEO
x45data,LRG,0.0,6.0,0.6559999999999999,1.5,0.6519999999999999,3.0,0.64,4.5,0.64,4.5,0.6559999999999999,1.5,area,9,GEO
x39data,LRG,0.0,6.0,0.972,2.0,0.958,3.0,0.944,4.0,0.9359999999999999,5.0,0.978,1.0,area,9,GEO
x38data,LRG,0.0,6.0,0.932,1.0,0.9259999999999999,2.0,0.922,3.0,0.91,4.0,0.9,5.0,area,9,GEO
