DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,GNB,0.942,3.0,0.942,3.0,0.94,5.5,0.944,1.0,0.942,3.0,0.94,5.5,aspect_ratio,1,PRE
x80data,GNB,0.93,5.0,0.938,1.5,0.938,1.5,0.934,3.5,0.934,3.5,0.9280000000000002,6.0,aspect_ratio,1,PRE
x7data,GNB,0.9,2.0,0.902,1.0,0.898,3.0,0.8940000000000001,4.5,0.89,6.0,0.8939999999999999,4.5,aspect_ratio,1,PRE
x79data,GNB,0.9,4.0,0.9,4.0,0.9,4.0,0.898,6.0,0.906,2.0,0.9179999999999999,1.0,aspect_ratio,1,PRE
x78data,GNB,0.954,3.0,0.966,1.0,0.948,5.0,0.954,3.0,0.954,3.0,0.938,6.0,aspect_ratio,1,PRE
x76data,GNB,0.948,1.5,0.946,3.0,0.938,5.0,0.9479999999999998,1.5,0.9359999999999999,6.0,0.9419999999999998,4.0,aspect_ratio,1,PRE
x75data,GNB,0.988,1.0,0.976,2.0,0.97,4.5,0.97,4.5,0.95,6.0,0.974,3.0,aspect_ratio,1,PRE
x74data,GNB,0.988,1.0,0.974,3.0,0.97,4.5,0.978,2.0,0.97,4.5,0.968,6.0,aspect_ratio,1,PRE
x73data,GNB,0.892,2.0,0.8859999999999999,4.5,0.8960000000000001,1.0,0.8859999999999999,4.5,0.8799999999999999,6.0,0.8879999999999999,3.0,aspect_ratio,1,PRE
x72data,GNB,0.8779999999999999,1.0,0.8759999999999999,2.0,0.8740000000000001,4.0,0.8740000000000001,4.0,0.8720000000000001,6.0,0.8740000000000001,4.0,aspect_ratio,1,PRE
x71data,GNB,0.91,3.5,0.912,1.5,0.91,3.5,0.8959999999999999,5.5,0.8959999999999999,5.5,0.912,1.5,aspect_ratio,1,PRE
x70data,GNB,0.764,2.0,0.7619999999999999,3.5,0.7460000000000001,5.0,0.7659999999999999,1.0,0.762,3.5,0.736,6.0,aspect_ratio,1,PRE
x69data,GNB,0.772,4.0,0.7759999999999999,3.0,0.7659999999999999,5.0,0.792,2.0,0.7939999999999999,1.0,0.7540000000000001,6.0,aspect_ratio,1,PRE
x68data,GNB,0.8480000000000001,1.0,0.8400000000000001,2.0,0.818,3.0,0.696,6.0,0.71,4.0,0.708,5.0,aspect_ratio,1,PRE
x66data,GNB,0.7559999999999999,3.0,0.748,4.0,0.7300000000000001,6.0,0.7460000000000001,5.0,0.7619999999999999,2.0,0.7659999999999999,1.0,aspect_ratio,1,PRE
x65data,GNB,0.7819999999999998,3.5,0.7819999999999998,3.5,0.7879999999999999,2.0,0.764,5.0,0.752,6.0,0.8059999999999999,1.0,aspect_ratio,1,PRE
x64data,GNB,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,aspect_ratio,1,PRE
x63data,GNB,0.6220000000000001,5.0,0.662,2.0,0.664,1.0,0.636,4.0,0.6559999999999999,3.0,0.614,6.0,aspect_ratio,1,PRE
x60data,GNB,0.7,5.0,0.716,2.5,0.72,1.0,0.716,2.5,0.7120000000000001,4.0,0.67,6.0,aspect_ratio,1,PRE
x50data,GNB,0.976,4.0,0.978,1.0,0.976,4.0,0.976,4.0,0.976,4.0,0.976,4.0,aspect_ratio,1,PRE
x4data,GNB,0.9359999999999999,1.0,0.91,2.0,0.866,4.0,0.8560000000000001,5.0,0.852,6.0,0.906,3.0,aspect_ratio,1,PRE
x48data,GNB,0.98,1.0,0.978,2.0,0.974,4.5,0.974,4.5,0.9759999999999998,3.0,0.972,6.0,aspect_ratio,1,PRE
x45data,GNB,0.968,1.0,0.9640000000000001,2.5,0.9640000000000001,2.5,0.952,5.5,0.952,5.5,0.958,4.0,aspect_ratio,1,PRE
x39data,GNB,0.954,4.0,0.954,4.0,0.954,4.0,0.946,6.0,0.9559999999999998,2.0,0.958,1.0,aspect_ratio,1,PRE
x38data,GNB,0.976,2.0,0.982,1.0,0.9640000000000001,3.0,0.94,6.0,0.9479999999999998,5.0,0.96,4.0,aspect_ratio,1,PRE
x35data,GNB,1.0,2.0,1.0,2.0,1.0,2.0,0.998,4.0,0.992,6.0,0.996,5.0,aspect_ratio,1,PRE
x32data,GNB,0.9419999999999998,2.0,0.942,2.0,0.9420000000000002,2.0,0.914,5.0,0.904,6.0,0.9260000000000002,4.0,aspect_ratio,1,PRE
x31data,GNB,0.89,4.5,0.8959999999999999,3.0,0.9,1.5,0.884,6.0,0.9,1.5,0.89,4.5,aspect_ratio,1,PRE
x30data,GNB,0.908,3.5,0.906,5.0,0.908,3.5,0.914,2.0,0.9179999999999999,1.0,0.904,6.0,aspect_ratio,1,PRE
x20data,GNB,0.94,2.0,0.9399999999999998,2.0,0.94,2.0,0.938,5.0,0.938,5.0,0.938,5.0,aspect_ratio,1,PRE
x1data,GNB,0.932,4.0,0.934,2.0,0.938,1.0,0.9259999999999999,6.0,0.932,4.0,0.932,4.0,aspect_ratio,1,PRE
x18data,GNB,0.942,2.5,0.9399999999999998,4.5,0.938,6.0,0.9399999999999998,4.5,0.942,2.5,0.948,1.0,aspect_ratio,1,PRE
appendicitis,GNB,0.7819999999999999,5.0,0.7979999999999999,1.5,0.79,3.0,0.7979999999999999,1.5,0.7859999999999999,4.0,0.772,6.0,aspect_ratio,1,PRE
autoUniv-au1-1000,GNB,0.6859999999999999,6.0,0.708,3.0,0.7100000000000001,2.0,0.7,4.0,0.7120000000000001,1.0,0.698,5.0,aspect_ratio,1,PRE
climate-simulation-craches,GNB,0.924,1.0,0.922,4.0,0.922,4.0,0.922,4.0,0.922,4.0,0.922,4.0,aspect_ratio,1,PRE
colon32,GNB,0.906,3.5,0.906,3.5,0.906,3.5,0.906,3.5,0.906,3.5,0.906,3.5,aspect_ratio,1,PRE
fertility-diagnosis,GNB,0.8,5.0,0.828,2.0,0.764,6.0,0.8020000000000002,4.0,0.8160000000000001,3.0,0.8320000000000001,1.0,aspect_ratio,1,PRE
habermans-survival,GNB,0.71,5.0,0.7140000000000001,4.0,0.708,6.0,0.72,3.0,0.748,1.0,0.7340000000000001,2.0,aspect_ratio,1,PRE
indian-liver-patient,GNB,0.7559999999999999,4.5,0.752,6.0,0.7599999999999999,1.0,0.7559999999999999,4.5,0.758,2.5,0.758,2.5,aspect_ratio,1,PRE
ionosphere,GNB,0.8300000000000001,4.0,0.8340000000000001,3.0,0.826,5.0,0.8420000000000001,1.0,0.8380000000000001,2.0,0.8239999999999998,6.0,aspect_ratio,1,PRE
lsvt-voice-rehabilitation,GNB,0.6579999999999999,4.5,0.6599999999999999,3.0,0.6699999999999999,2.0,0.7040000000000001,1.0,0.6579999999999999,4.5,0.626,6.0,aspect_ratio,1,PRE
ozone-eighthr,GNB,0.93,1.5,0.9280000000000002,4.0,0.922,6.0,0.9279999999999999,4.0,0.93,1.5,0.9279999999999999,4.0,aspect_ratio,1,PRE
ozone-onehr,GNB,0.9640000000000001,2.5,0.962,5.5,0.9640000000000001,2.5,0.9640000000000001,2.5,0.9640000000000001,2.5,0.962,5.5,aspect_ratio,1,PRE
