DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,DTREE,0.8340000000000001,5.0,0.8480000000000001,3.0,0.8540000000000001,1.0,0.8400000000000001,4.0,0.8320000000000001,6.0,0.85,2.0,max_solid_angle,4,IBA
x80data,DTREE,0.552,5.0,0.616,3.0,0.632,2.0,0.518,6.0,0.6020000000000001,4.0,0.728,1.0,max_solid_angle,4,IBA
x7data,DTREE,0.7260000000000001,2.0,0.6579999999999999,6.0,0.76,1.0,0.6679999999999999,5.0,0.674,4.0,0.682,3.0,max_solid_angle,4,IBA
x79data,DTREE,0.6639999999999999,6.0,0.726,3.0,0.7459999999999999,1.0,0.7240000000000001,4.0,0.716,5.0,0.7380000000000001,2.0,max_solid_angle,4,IBA
x78data,DTREE,0.7879999999999999,4.0,0.858,1.0,0.784,5.0,0.7759999999999999,6.0,0.836,3.0,0.8460000000000001,2.0,max_solid_angle,4,IBA
x76data,DTREE,0.5959999999999999,6.0,0.7140000000000001,4.0,0.7659999999999999,1.0,0.716,3.0,0.732,2.0,0.6679999999999999,5.0,max_solid_angle,4,IBA
x75data,DTREE,0.982,1.0,0.95,4.0,0.968,2.5,0.968,2.5,0.946,5.0,0.9440000000000002,6.0,max_solid_angle,4,IBA
x74data,DTREE,0.956,5.0,0.956,5.0,0.9620000000000001,2.5,0.9620000000000001,2.5,0.956,5.0,0.976,1.0,max_solid_angle,4,IBA
x73data,DTREE,0.7899999999999999,1.0,0.7719999999999999,3.0,0.746,5.0,0.75,4.0,0.698,6.0,0.7779999999999999,2.0,max_solid_angle,4,IBA
x72data,DTREE,0.8540000000000001,3.0,0.8859999999999999,1.0,0.85,4.0,0.882,2.0,0.8380000000000001,5.5,0.8379999999999999,5.5,max_solid_angle,4,IBA
x71data,DTREE,0.7659999999999999,5.5,0.7999999999999999,4.0,0.8300000000000001,3.0,0.7659999999999999,5.5,0.836,1.0,0.8320000000000001,2.0,max_solid_angle,4,IBA
x70data,DTREE,0.42,6.0,0.43,5.0,0.462,2.0,0.434,4.0,0.458,3.0,0.486,1.0,max_solid_angle,4,IBA
x69data,DTREE,0.42200000000000004,6.0,0.4900000000000001,3.5,0.5199999999999999,1.0,0.49,3.5,0.512,2.0,0.47,5.0,max_solid_angle,4,IBA
x68data,DTREE,0.8539999999999999,4.5,0.8860000000000001,2.0,0.89,1.0,0.8539999999999999,4.5,0.858,3.0,0.8460000000000001,6.0,max_solid_angle,4,IBA
x66data,DTREE,0.4400000000000001,2.0,0.41600000000000004,3.0,0.41200000000000003,4.0,0.408,5.5,0.408,5.5,0.444,1.0,max_solid_angle,4,IBA
x65data,DTREE,0.614,4.5,0.6140000000000001,4.5,0.618,2.5,0.65,1.0,0.6180000000000001,2.5,0.6,6.0,max_solid_angle,4,IBA
x64data,DTREE,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,max_solid_angle,4,IBA
x63data,DTREE,0.35600000000000004,2.0,0.35200000000000004,3.0,0.34,6.0,0.348,4.5,0.376,1.0,0.34800000000000003,4.5,max_solid_angle,4,IBA
x60data,DTREE,0.512,4.0,0.514,3.0,0.45,6.0,0.524,2.0,0.458,5.0,0.54,1.0,max_solid_angle,4,IBA
x50data,DTREE,0.4440000000000001,6.0,0.546,4.0,0.5760000000000001,2.0,0.476,5.0,0.5740000000000001,3.0,0.634,1.0,max_solid_angle,4,IBA
x4data,DTREE,0.916,6.0,0.956,2.5,0.956,2.5,0.9280000000000002,4.0,0.9239999999999998,5.0,0.962,1.0,max_solid_angle,4,IBA
x48data,DTREE,0.624,5.0,0.616,6.0,0.726,1.0,0.6839999999999999,4.0,0.7100000000000001,3.0,0.7219999999999999,2.0,max_solid_angle,4,IBA
x45data,DTREE,0.45,3.0,0.47,1.5,0.4400000000000001,4.0,0.388,5.0,0.33,6.0,0.4699999999999999,1.5,max_solid_angle,4,IBA
x39data,DTREE,0.966,1.5,0.966,1.5,0.9620000000000001,3.0,0.902,6.0,0.9259999999999999,5.0,0.9279999999999999,4.0,max_solid_angle,4,IBA
x38data,DTREE,0.706,5.0,0.8340000000000001,2.0,0.8420000000000001,1.0,0.608,6.0,0.792,4.0,0.818,3.0,max_solid_angle,4,IBA
x35data,DTREE,0.992,3.5,0.992,3.5,1.0,1.0,0.992,3.5,0.992,3.5,0.984,6.0,max_solid_angle,4,IBA
x32data,DTREE,0.8539999999999999,6.0,0.8879999999999999,3.0,0.912,2.0,0.8699999999999999,5.0,0.8780000000000001,4.0,0.916,1.0,max_solid_angle,4,IBA
x31data,DTREE,0.422,6.0,0.502,5.0,0.5559999999999999,3.0,0.5900000000000001,1.0,0.5379999999999999,4.0,0.5700000000000001,2.0,max_solid_angle,4,IBA
x30data,DTREE,0.6759999999999999,4.0,0.7820000000000001,1.0,0.74,3.0,0.67,6.0,0.672,5.0,0.754,2.0,max_solid_angle,4,IBA
x20data,DTREE,0.332,6.0,0.41,2.0,0.358,5.0,0.366,4.0,0.386,3.0,0.4360000000000001,1.0,max_solid_angle,4,IBA
x1data,DTREE,0.4940000000000001,5.0,0.5760000000000001,2.0,0.5599999999999999,4.0,0.48200000000000004,6.0,0.564,3.0,0.664,1.0,max_solid_angle,4,IBA
x18data,DTREE,0.4,6.0,0.446,4.0,0.442,5.0,0.512,2.0,0.5,3.0,0.5740000000000001,1.0,max_solid_angle,4,IBA
appendicitis,DTREE,0.284,5.0,0.292,4.0,0.366,2.0,0.32399999999999995,3.0,0.2,6.0,0.422,1.0,max_solid_angle,4,IBA
autoUniv-au1-1000,DTREE,0.32,6.0,0.358,4.0,0.38,3.0,0.392,1.0,0.388,2.0,0.348,5.0,max_solid_angle,4,IBA
climate-simulation-craches,DTREE,0.188,6.0,0.264,5.0,0.328,3.0,0.28,4.0,0.35,2.0,0.36000000000000004,1.0,max_solid_angle,4,IBA
colon32,DTREE,0.6,2.0,0.5379999999999999,5.0,0.53,6.0,0.5519999999999999,3.0,0.764,1.0,0.5479999999999999,4.0,max_solid_angle,4,IBA
fertility-diagnosis,DTREE,0.24,2.0,0.28800000000000003,1.0,0.22000000000000008,3.0,0.086,5.5,0.086,5.5,0.182,4.0,max_solid_angle,4,IBA
habermans-survival,DTREE,0.26,4.0,0.268,3.0,0.304,2.0,0.252,5.0,0.248,6.0,0.31999999999999995,1.0,max_solid_angle,4,IBA
indian-liver-patient,DTREE,0.306,6.0,0.368,2.0,0.34400000000000003,4.5,0.43,1.0,0.344,4.5,0.366,3.0,max_solid_angle,4,IBA
ionosphere,DTREE,0.7659999999999999,5.0,0.7799999999999999,1.5,0.78,1.5,0.7380000000000001,6.0,0.772,3.0,0.768,4.0,max_solid_angle,4,IBA
lsvt-voice-rehabilitation,DTREE,0.31399999999999995,5.0,0.402,1.0,0.32399999999999995,4.0,0.344,3.0,0.28600000000000003,6.0,0.39,2.0,max_solid_angle,4,IBA
ozone-eighthr,DTREE,0.362,6.0,0.414,3.0,0.39399999999999996,4.0,0.368,5.0,0.4779999999999999,1.0,0.43,2.0,max_solid_angle,4,IBA
ozone-onehr,DTREE,0.2,5.0,0.26,4.0,0.18,6.0,0.268,3.0,0.316,1.0,0.302,2.0,max_solid_angle,4,IBA
parkinsons,DTREE,0.6579999999999999,5.0,0.6399999999999999,6.0,0.7959999999999999,1.0,0.718,3.0,0.674,4.0,0.7879999999999999,2.0,max_solid_angle,4,IBA
phoneme,DTREE,0.6639999999999999,6.0,0.69,3.0,0.7,1.0,0.6920000000000001,2.0,0.672,5.0,0.6859999999999999,4.0,max_solid_angle,4,IBA
pima-indians-diabetes,DTREE,0.326,5.0,0.378,1.0,0.35800000000000004,2.0,0.328,3.5,0.328,3.5,0.28800000000000003,6.0,max_solid_angle,4,IBA
planning-relax,DTREE,0.2280000000000001,3.0,0.226,4.5,0.17800000000000002,6.0,0.226,4.5,0.30000000000000004,1.0,0.262,2.0,max_solid_angle,4,IBA
