DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,GNB,0.742,6.0,0.76,5.0,0.7819999999999999,3.0,0.8059999999999999,1.0,0.8039999999999999,2.0,0.774,4.0,max_solid_angle,9,IBA
x80data,GNB,0.7659999999999999,6.0,0.8140000000000001,1.0,0.8119999999999999,2.0,0.7879999999999999,4.5,0.7879999999999999,4.5,0.8099999999999999,3.0,max_solid_angle,9,IBA
x7data,GNB,0.434,3.0,0.438,1.0,0.418,4.0,0.4119999999999999,5.0,0.406,6.0,0.436,2.0,max_solid_angle,9,IBA
x79data,GNB,0.162,5.0,0.196,3.0,0.168,4.0,0.102,6.0,0.4980000000000001,2.0,0.6980000000000001,1.0,max_solid_angle,9,IBA
x78data,GNB,0.8399999999999999,2.0,0.8539999999999999,1.0,0.8300000000000001,3.0,0.8140000000000001,4.5,0.8140000000000001,4.5,0.778,6.0,max_solid_angle,9,IBA
x76data,GNB,0.8460000000000001,3.0,0.8540000000000001,2.0,0.8400000000000001,4.0,0.8360000000000001,5.0,0.8059999999999999,6.0,0.858,1.0,max_solid_angle,9,IBA
x75data,GNB,0.982,1.0,0.9640000000000001,2.0,0.946,4.5,0.946,4.5,0.8759999999999999,6.0,0.958,3.0,max_solid_angle,9,IBA
x74data,GNB,0.982,1.0,0.958,3.0,0.952,4.5,0.9640000000000001,2.0,0.94,6.0,0.952,4.5,max_solid_angle,9,IBA
x73data,GNB,0.752,2.0,0.736,5.0,0.77,1.0,0.7380000000000001,4.0,0.7280000000000001,6.0,0.748,3.0,max_solid_angle,9,IBA
x72data,GNB,0.648,1.0,0.6439999999999999,2.5,0.6340000000000001,5.0,0.638,4.0,0.6220000000000001,6.0,0.6439999999999999,2.5,max_solid_angle,9,IBA
x71data,GNB,0.764,3.0,0.77,2.0,0.7759999999999999,1.0,0.7340000000000001,5.5,0.7340000000000001,5.5,0.7440000000000001,4.0,max_solid_angle,9,IBA
x70data,GNB,0.488,2.0,0.48200000000000004,3.0,0.452,6.0,0.494,1.0,0.476,4.5,0.476,4.5,max_solid_angle,9,IBA
