DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,RF,0.927866121451886,6.0,0.9442776389828024,3.0,0.9467454065139024,2.0,0.9422649296894354,4.0,0.9366293337252416,5.0,0.9500232003105444,1.0,solid_angle,1,AUC
x80data,RF,0.7295511319281809,6.0,0.7701366120218579,4.0,0.7684699453551913,5.0,0.7767759562841531,3.0,0.8332864949258394,2.0,0.8744769711163155,1.0,solid_angle,1,AUC
x7data,RF,0.8726231386025202,6.0,0.8907216494845359,4.5,0.8907216494845359,4.5,0.9059564719358534,3.0,0.9119129438717068,2.0,0.9287935105313604,1.0,solid_angle,1,AUC
x79data,RF,0.8390237278444825,6.0,0.8718864351057747,4.0,0.8693310463121785,5.0,0.8845758290451687,3.0,0.8947226986849628,2.0,0.9101611635220126,1.0,solid_angle,1,AUC
x78data,RF,0.9472972972972976,1.0,0.927927927927928,5.5,0.9445945945945948,2.5,0.9445945945945948,2.5,0.927927927927928,5.5,0.9283783783783784,4.0,solid_angle,1,AUC
x76data,RF,0.8584694691273638,6.0,0.905710868079289,2.0,0.9239878104351787,1.0,0.8693785600364548,5.0,0.8822972203235361,4.0,0.9042441330599224,3.0,solid_angle,1,AUC
x75data,RF,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,0.9916666666666666,5.0,0.9805555555555554,6.0,solid_angle,1,AUC
x74data,RF,0.9972222222222221,1.0,0.9829365079365079,5.0,0.9944444444444444,2.0,0.9829365079365079,5.0,0.9829365079365079,5.0,0.9916666666666666,3.0,solid_angle,1,AUC
x73data,RF,0.8640535444947209,6.0,0.8705542986425339,5.0,0.8882522624434388,3.0,0.8897209653092005,2.0,0.8785614630467571,4.0,0.8957296380090497,1.0,solid_angle,1,AUC
x72data,RF,0.9550745378652354,6.0,0.9655933214072748,3.0,0.9680515802027432,1.0,0.9650745378652356,4.0,0.9671541443053072,2.0,0.9645542635658916,5.0,solid_angle,1,AUC
x71data,RF,0.9284090909090909,4.5,0.931439393939394,3.0,0.9362878787878788,2.0,0.9084090909090908,6.0,0.9284090909090909,4.5,0.9393181818181816,1.0,solid_angle,1,AUC
x70data,RF,0.6432243934624451,6.0,0.6679593829841037,5.0,0.6815371915719838,4.0,0.6964388172408681,3.0,0.7207293855709898,1.0,0.7146079123830452,2.0,solid_angle,1,AUC
x69data,RF,0.6794557267022384,6.0,0.7291485553206484,5.0,0.7368872042685995,4.0,0.7410111413134669,3.0,0.7581303667908319,2.0,0.7677947582133628,1.0,solid_angle,1,AUC
x68data,RF,0.956770858082486,6.0,0.9713594348803652,3.0,0.9751640927547904,1.0,0.9698803584012886,4.0,0.9750431692338668,2.0,0.9693941474546126,5.0,solid_angle,1,AUC
x66data,RF,0.6737429736581064,6.0,0.6963642611238257,4.0,0.6992048158401463,3.0,0.6951345621462517,5.0,0.7047040670120138,2.0,0.7165636244578292,1.0,solid_angle,1,AUC
x65data,RF,0.7985221674876847,6.0,0.7990147783251231,4.5,0.8273399014778325,2.0,0.7990147783251229,4.5,0.8172413793103448,3.0,0.8279556650246306,1.0,solid_angle,1,AUC
x64data,RF,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,solid_angle,1,AUC
x63data,RF,0.637230607966457,6.0,0.6447386443046821,5.0,0.6490677847658979,3.0,0.6487281621243886,4.0,0.6491355695317961,2.0,0.6668371767994408,1.0,solid_angle,1,AUC
x60data,RF,0.7780158730158729,3.0,0.7497883597883598,6.0,0.7739682539682541,4.0,0.7871693121693122,1.0,0.7660846560846558,5.0,0.7858002645502646,2.0,solid_angle,1,AUC
x50data,RF,0.6554187192118227,6.0,0.7774372304702813,3.0,0.7645272470042783,4.0,0.7512807881773398,5.0,0.8318178873983673,2.0,0.8381689876762064,1.0,solid_angle,1,AUC
x4data,RF,0.9775741877353606,6.0,0.9874261907487016,3.0,0.9940612618387492,2.0,0.9799438559818064,5.0,0.983160762589644,4.0,0.9947575694520892,1.0,solid_angle,1,AUC
x48data,RF,0.7347222222222222,6.0,0.8541666666666667,4.0,0.8871527777777777,2.0,0.8538194444444445,5.0,0.8788194444444445,3.0,0.9125,1.0,solid_angle,1,AUC
x45data,RF,0.7239130434782608,3.0,0.7359630668536701,2.0,0.7185250116877044,4.0,0.6881252921926133,6.0,0.7120266479663394,5.0,0.7663394109396914,1.0,solid_angle,1,AUC
x39data,RF,0.9988636363636364,2.5,0.9988636363636364,2.5,0.9966164453524003,5.0,1.0,1.0,0.9977400408580184,4.0,0.9898621041879472,6.0,solid_angle,1,AUC
x38data,RF,0.825,6.0,0.8734126984126984,3.0,0.8686755952380952,4.0,0.8484126984126984,5.0,0.8920634920634921,2.0,0.9183531746031746,1.0,solid_angle,1,AUC
