DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,SVM,0.7631984481439474,7.0,0.8858303592795685,4.0,0.8979757135500496,3.0,0.9043995640044586,2.0,0.9046279645153084,1.0,0.8838332460303111,6.0,0.8850164204871028,5.0,max_solid_angle,1,AUC
x80data,SVM,0.5,7.0,0.8750897736143639,3.0,0.8701170960187354,4.0,0.8668110850897737,5.0,0.8634777517564401,6.0,0.8783957845433255,1.0,0.8767291178766591,2.0,max_solid_angle,1,AUC
x7data,SVM,0.5,7.0,0.6302405498281787,1.0,0.5323024054982819,5.0,0.554524627720504,4.0,0.5211912943871706,6.0,0.6292096219931271,2.0,0.5656357388316151,3.0,max_solid_angle,1,AUC
x79data,SVM,0.5,7.0,0.8530460263007432,6.0,0.8750228702115495,2.0,0.8675432389937108,3.0,0.8609130217267009,4.0,0.855417738707833,5.0,0.8765394511149228,1.0,max_solid_angle,1,AUC
x78data,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
x76data,SVM,0.5,7.0,0.8968939393939394,2.0,0.8898763955342902,5.0,0.8949322169059011,4.0,0.8846445659603553,6.0,0.8951395534290271,3.0,0.8986483253588518,1.0,max_solid_angle,1,AUC
x75data,SVM,0.5,6.5,0.7,1.0,0.5857142857142856,4.0,0.5142857142857142,5.0,0.5,6.5,0.6857142857142857,2.5,0.6857142857142857,2.5,max_solid_angle,1,AUC
x74data,SVM,0.5,6.0,0.6857142857142857,1.5,0.5714285714285714,4.0,0.5,6.0,0.5,6.0,0.6857142857142857,1.5,0.6428571428571428,3.0,max_solid_angle,1,AUC
x73data,SVM,0.5,7.0,0.8793080693815988,6.0,0.8840516591251886,4.0,0.9017119155354448,1.0,0.8950452488687783,2.0,0.8812311463046758,5.0,0.8859747360482656,3.0,max_solid_angle,1,AUC
x72data,SVM,0.5,7.0,0.7186285032796661,6.0,0.7255158020274299,2.0,0.7318500298151461,1.0,0.7198896839594514,5.0,0.7206976744186047,4.0,0.7210465116279071,3.0,max_solid_angle,1,AUC
x71data,SVM,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,1,AUC
x70data,SVM,0.5,4.5,0.5,4.5,0.5252699517211511,1.0,0.5,4.5,0.5,4.5,0.5,4.5,0.5,4.5,max_solid_angle,1,AUC
