DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,MLP,0.89893880887154,7.0,0.9492768336320536,5.0,0.9582531313227975,1.0,0.9482372788366432,6.0,0.955813004732389,2.0,0.949595365303985,4.0,0.9527164802504954,3.0,max_solid_angle,4,AUC
x80data,MLP,0.6707416081186572,7.0,0.8903473848555816,2.0,0.8870413739266201,3.0,0.8837353629976581,5.0,0.8907220921155347,1.0,0.8870140515222482,4.0,0.8803747072599531,6.0,max_solid_angle,4,AUC
x7data,MLP,0.6767468499427263,7.0,0.9584192439862542,1.0,0.9473081328751431,5.0,0.938258877434135,6.0,0.9532646048109964,3.5,0.9573883161512028,2.0,0.9532646048109964,3.5,max_solid_angle,4,AUC
x79data,MLP,0.7978276872498571,7.0,0.9042742281303604,5.0,0.8913021726700971,6.0,0.9073088193253288,4.0,0.9229452544311036,1.0,0.9180095769010864,2.0,0.914227415666095,3.0,max_solid_angle,4,AUC
x78data,MLP,0.5,7.0,0.91981981981982,2.0,0.9058558558558559,4.0,0.8752252252252253,5.0,0.8612612612612613,6.0,0.9144144144144146,3.0,0.9283783783783784,1.0,max_solid_angle,4,AUC
x76data,MLP,0.7996986785144681,7.0,0.9056345408976988,6.0,0.9265424925951244,1.0,0.924788106630212,2.0,0.9212793347003874,3.0,0.9156658692185008,4.0,0.9156345408976988,5.0,max_solid_angle,4,AUC
x75data,MLP,0.7,7.0,0.9972222222222221,2.0,0.9829365079365079,4.0,0.9345238095238096,6.0,0.9404761904761904,5.0,0.9972222222222221,2.0,0.9972222222222221,2.0,max_solid_angle,4,AUC
x74data,MLP,0.7142857142857142,7.0,0.9972222222222221,2.0,0.98015873015873,4.0,0.9400793650793652,5.0,0.9317460317460317,6.0,0.9972222222222221,2.0,0.9972222222222221,2.0,max_solid_angle,4,AUC
x73data,MLP,0.8323755656108597,7.0,0.8584860482654599,5.0,0.8641270739064858,4.0,0.8665309200603317,3.0,0.8682126696832579,2.0,0.8565629713423831,6.0,0.8742232277526396,1.0,max_solid_angle,4,AUC
x72data,MLP,0.7903413834227788,7.0,0.9455277280858676,1.0,0.9406261180679788,3.0,0.9369379844961241,5.0,0.929396243291592,6.0,0.9387552176505664,4.0,0.9441517590936196,2.0,max_solid_angle,4,AUC
x71data,MLP,0.5,7.0,0.8651704545454546,5.0,0.8780113636363636,3.0,0.9030681818181816,1.0,0.8848863636363635,2.0,0.8620454545454546,6.0,0.8720454545454546,4.0,max_solid_angle,4,AUC
x70data,MLP,0.5039566275145839,7.0,0.7026387689910855,2.0,0.6707501678569251,6.0,0.6844526701604161,4.0,0.6800584519958262,5.0,0.6938782361507136,3.0,0.7097628784773995,1.0,max_solid_angle,4,AUC
x69data,MLP,0.5490512768884862,7.0,0.6898290748011678,4.0,0.6770869223799456,6.0,0.6976911641330246,2.0,0.6998797476425384,1.0,0.6841140038256317,5.0,0.6927318567737173,3.0,max_solid_angle,4,AUC
x68data,MLP,0.7457015805899527,7.0,0.9402271754085708,4.0,0.9330276317997248,6.0,0.9406331152052084,3.0,0.9442678277794558,1.0,0.9392259404678012,5.0,0.9436842779959058,2.0,max_solid_angle,4,AUC
x66data,MLP,0.6674854934809811,7.0,0.7096558632270278,5.0,0.7095291135301249,6.0,0.71300341673096,4.0,0.7271551014321742,1.0,0.716076010917979,3.0,0.718235877620088,2.0,max_solid_angle,4,AUC
x65data,MLP,0.5,4.5,0.5,4.5,0.5,4.5,0.5,4.5,0.5741379310344827,1.0,0.5,4.5,0.5,4.5,max_solid_angle,4,AUC
x64data,MLP,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,max_solid_angle,4,AUC
x63data,MLP,0.5838322851153039,7.0,0.6841726065688329,1.0,0.6838700209643604,2.0,0.6698700209643605,4.0,0.6730265548567436,3.0,0.6608127183787562,5.0,0.6607239692522711,6.0,max_solid_angle,4,AUC
x60data,MLP,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,4,AUC
x50data,MLP,0.4993103448275862,7.0,0.8469267220072613,6.0,0.8552097431264596,4.0,0.8691506298259671,2.0,0.8744648609951081,1.0,0.8644588951199144,3.0,0.8536226498713075,5.0,max_solid_angle,4,AUC
x4data,MLP,0.9870236749999564,7.0,0.9930841581880724,5.0,0.9964731116336404,2.0,0.9918846805733448,6.0,0.9941244835305061,4.0,0.9965444029569048,1.0,0.9955755208304714,3.0,max_solid_angle,4,AUC
x48data,MLP,0.6565972222222223,7.0,0.9152777777777776,5.5,0.9152777777777776,5.5,0.9357638888888888,4.0,0.9524305555555556,1.5,0.9524305555555552,1.5,0.9451388888888892,3.0,max_solid_angle,4,AUC
x45data,MLP,0.7239130434782608,7.0,0.7902992052360917,3.0,0.7924497428705003,1.0,0.7371785881252922,6.0,0.7621669004207573,5.0,0.791362786348761,2.0,0.7706755493221131,4.0,max_solid_angle,4,AUC
x39data,MLP,0.7554681647940076,7.0,0.9898748723186924,1.5,0.9898748723186924,1.5,0.9754553966632621,5.0,0.9675774599931904,6.0,0.9876149131767108,3.0,0.9819841675178754,4.0,max_solid_angle,4,AUC
x38data,MLP,0.7,7.0,0.9139136904761904,2.0,0.9123263888888892,3.0,0.9107638888888888,4.0,0.902827380952381,6.0,0.9107390873015874,5.0,0.9341517857142858,1.0,max_solid_angle,4,AUC
x35data,MLP,0.9958333333333332,3.5,0.9955400782013684,6.0,0.991373411534702,7.0,0.9958333333333332,3.5,0.9955409356725148,5.0,0.9994143472072164,1.5,0.9994143472072164,1.5,max_solid_angle,4,AUC
x32data,MLP,0.9127684667908132,7.0,0.9699937926753568,6.0,0.99832712600869,2.0,0.9933302296710116,5.0,0.9983333333333334,1.0,0.9966573556797022,3.0,0.9961018001241464,4.0,max_solid_angle,4,AUC
x31data,MLP,0.5948913476874003,7.0,0.8043381180223286,2.0,0.7879236443381181,5.0,0.7921999601275916,4.0,0.7859389952153111,6.0,0.8043052232854864,3.0,0.8153797846889953,1.0,max_solid_angle,4,AUC
x30data,MLP,0.7743792766373411,7.0,0.870230991542352,6.0,0.8971830507033873,4.0,0.9064069871222744,2.0,0.9108060266054656,1.0,0.8891557227251476,5.0,0.9061077818861832,3.0,max_solid_angle,4,AUC
x20data,MLP,0.5020664354704651,7.0,0.7261792280084963,2.0,0.6893090863928616,5.0,0.7222039908413187,3.0,0.7209905292354921,4.0,0.6641937271311609,6.0,0.7518069766479099,1.0,max_solid_angle,4,AUC
x1data,MLP,0.7010070257611241,7.0,0.8870960187353629,1.0,0.8837626854020296,2.0,0.8754293520686964,6.0,0.8780483996877441,4.0,0.8787900078064013,3.0,0.8770960187353628,5.0,max_solid_angle,4,AUC
x18data,MLP,0.5,7.0,0.8797330850403476,1.0,0.7753786468032279,6.0,0.8272610180012414,5.0,0.8386530105524519,4.0,0.8575108628181253,2.0,0.8438842333954065,3.0,max_solid_angle,4,AUC
appendicitis,MLP,0.6482352941176469,7.0,0.7261764705882352,4.0,0.6938235294117647,6.0,0.7594117647058822,2.0,0.7417647058823528,3.0,0.7070588235294117,5.0,0.7652941176470588,1.0,max_solid_angle,4,AUC
