DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,SGD,0.8060672080553989,7.0,0.8943060031322588,4.0,0.9053157053530768,3.0,0.9079076139394836,2.0,0.9094380142488464,1.0,0.8900135962514628,5.0,0.8872730323574537,6.0,max_solid_angle,9,AUC
x80data,SGD,0.6354761904761905,7.0,0.8675800156128025,3.0,0.7358508977361435,6.0,0.8547697111631539,4.0,0.8923067915690867,1.0,0.8225995316159251,5.0,0.8793950039032007,2.0,max_solid_angle,9,AUC
x7data,SGD,0.6323024054982818,7.0,0.8312714776632302,4.0,0.8632956962853869,2.0,0.8309208219370221,5.0,0.8963344788087056,1.0,0.7532681113682586,6.0,0.8435093625078898,3.0,max_solid_angle,9,AUC
x79data,SGD,0.7910095054316753,7.0,0.8651600914808462,4.0,0.8587392795883362,5.0,0.8891727415666095,1.0,0.8750343053173243,2.0,0.8313518439108062,6.0,0.8696237135506003,3.0,max_solid_angle,9,AUC
x78data,SGD,0.5,7.0,0.7612612612612614,2.0,0.7472972972972973,3.5,0.7472972972972973,3.5,0.6833333333333333,5.0,0.7923423423423424,1.0,0.6504504504504505,6.0,max_solid_angle,9,AUC
x76data,SGD,0.774066985645933,7.0,0.8825085440874915,1.0,0.8522499430394168,4.0,0.8535742766005925,3.0,0.86272670312144,2.0,0.8009626338573707,6.0,0.8024629756208703,5.0,max_solid_angle,9,AUC
x75data,SGD,0.817063492063492,5.0,0.9202380952380952,3.0,0.8087301587301587,6.0,0.7285714285714284,7.0,0.8746031746031745,4.0,0.9746031746031748,1.0,0.9630952380952379,2.0,max_solid_angle,9,AUC
x74data,SGD,0.7972222222222223,6.5,0.8273809523809523,5.0,0.88015873015873,2.0,0.9115079365079366,1.0,0.8773809523809524,3.0,0.7972222222222222,6.5,0.8488095238095237,4.0,max_solid_angle,9,AUC
x73data,SGD,0.8208521870286576,6.0,0.8194871794871794,7.0,0.8552960030165913,3.0,0.8604487179487179,2.0,0.8513386123680242,4.0,0.8333201357466062,5.0,0.8669758672699848,1.0,max_solid_angle,9,AUC
x72data,SGD,0.6901565295169946,7.0,0.7542397137745975,3.0,0.738495825879547,4.0,0.7713208109719737,2.0,0.7056127012522362,6.0,0.7059704830053668,5.0,0.7739967203339295,1.0,max_solid_angle,9,AUC
x71data,SGD,0.6900000000000001,5.0,0.7792045454545454,3.0,0.5636363636363637,7.0,0.7829545454545455,2.0,0.6382007575757577,6.0,0.704659090909091,4.0,0.8589204545454546,1.0,max_solid_angle,9,AUC
x70data,SGD,0.5660104986876641,5.0,0.5906893905703647,1.0,0.5822148684902759,2.0,0.5680622770990835,4.0,0.5397262842144732,7.0,0.5694475690538682,3.0,0.5418983964213776,6.0,max_solid_angle,9,AUC
x69data,SGD,0.5700661901406087,3.0,0.5559279640256385,4.0,0.5014790764790764,6.0,0.5278936877076412,5.0,0.5,7.0,0.5832016175039432,1.0,0.5769515419980537,2.0,max_solid_angle,9,AUC
x68data,SGD,0.5643563072586328,4.0,0.5515382798080473,7.0,0.553690083559851,6.0,0.6399356756938153,1.0,0.5554151347360651,5.0,0.5975215074331354,2.0,0.5923540185912278,3.0,max_solid_angle,9,AUC
x66data,SGD,0.6748935756381248,2.0,0.6499457342729884,4.0,0.6799581823250629,1.0,0.6289934582893005,6.0,0.6653564227410352,3.0,0.6421389902814427,5.0,0.6262019826116273,7.0,max_solid_angle,9,AUC
x65data,SGD,0.5,7.0,0.5857142857142857,4.0,0.6662561576354681,1.0,0.6290640394088671,2.0,0.5376847290640394,6.0,0.5825123152709359,5.0,0.5908866995073891,3.0,max_solid_angle,9,AUC
x64data,SGD,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,max_solid_angle,9,AUC
x63data,SGD,0.5291830887491266,5.0,0.5478259958071279,4.0,0.5243494060097833,6.0,0.5569657582110412,3.0,0.514769392033543,7.0,0.5625199161425577,1.0,0.5606610761705102,2.0,max_solid_angle,9,AUC
x60data,SGD,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,max_solid_angle,9,AUC
x50data,SGD,0.5844827586206895,7.0,0.8718623757819559,3.0,0.7646786097806263,6.0,0.8937259447389503,1.0,0.8695343208277226,4.0,0.8764857586036442,2.0,0.7977292174476279,5.0,max_solid_angle,9,AUC
x4data,SGD,0.7933152453481122,5.0,0.9164552137023044,1.0,0.8478377423635161,4.0,0.764394799664976,6.0,0.7496230719382855,7.0,0.9030668243474832,3.0,0.905461030589378,2.0,max_solid_angle,9,AUC
x48data,SGD,0.6083333333333334,7.0,0.95625,3.0,0.9635416666666669,2.0,0.9649305555555556,1.0,0.9447916666666668,4.0,0.9399305555555556,5.0,0.9274305555555552,6.0,max_solid_angle,9,AUC
x45data,SGD,0.7239130434782608,4.0,0.7109280037400654,5.0,0.7446119682094436,2.0,0.6938055165965404,6.0,0.7620383356708743,1.0,0.7349696119682094,3.0,0.648083216456288,7.0,max_solid_angle,9,AUC
